"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2026","1","1","17570","17118","16746","16448","16355","16555","17069","17645","18059","18118","18115","18072","18140","18307","18801","19701","20832","21766","21652","21374","21003","20449","19645","18793",""
"2026","1","2","18184","17725","17386","17244","17396","18010","19081","20036","20629","20842","20734","20544","20421","20380","20459","20918","21710","22414","22223","21799","21262","20575","19716","18850",""
"2026","1","3","18213","17708","17372","17184","17233","17499","18047","18657","19052","19153","19273","19373","19282","19416","19602","19997","20772","21381","21243","20907","20493","19909","19195","18399",""
"2026","1","4","17725","17198","16812","16654","16672","16908","17343","17876","18440","18666","18684","18645","18677","18819","19232","19731","20623","21405","21315","20983","20557","19848","18867","17998",""
"2026","1","5","17344","16891","16666","16614","16915","17780","19324","20384","20793","21058","21095","21021","20925","20835","20752","21071","21605","22151","21868","21387","20700","19735","18556","17472",""
"2026","1","6","16724","16218","15913","15804","16025","16903","18416","19525","19813","19828","19676","19573","19488","19314","19320","19751","20468","21127","20908","20420","19824","18967","17870","16889",""
"2026","1","7","16187","15692","15373","15279","15490","16267","17652","18783","19149","18978","18599","18510","18512","18674","18839","19169","19864","20512","20343","19924","19378","18563","17521","16532",""
"2026","1","8","15860","15376","15104","14995","15202","16038","17544","18626","18588","18012","17179","16683","16352","16294","16508","17494","18853","19846","19842","19601","19161","18490","17518","16579",""
"2026","1","9","15936","15524","15235","15124","15313","16072","17479","18495","18483","18162","17889","17848","17979","18275","18381","18783","19299","19636","19316","18880","18272","17585","16708","15878",""
"2026","1","10","15214","14709","14425","14283","14326","14645","15296","16008","16528","16822","16803","17199","17462","17664","17898","18251","18753","19158","18989","18588","18184","17556","16865","16135",""
"2026","1","11","15528","15038","14728","14503","14489","14738","15200","15763","16037","15959","15953","15893","16444","16824","17192","17810","18764","19737","19857","19613","19335","18724","17871","17027",""
"2026","1","12","16507","16143","15897","15830","16087","16974","18471","19548","19736","19416","18680","18167","17995","18182","18649","19370","20248","21010","20932","20587","19984","19162","18090","17118",""
"2026","1","13","16446","15936","15626","15515","15746","16589","18099","19123","19038","18412","17750","17391","17178","17330","17818","18499","19525","20310","20196","19826","19270","18369","17277","16269",""
"2026","1","14","15608","15108","14812","14703","14917","15720","17186","18276","18477","18477","18348","18158","18283","18183","18267","18508","19131","19769","19645","19286","18719","17925","16925","15995",""
"2026","1","15","15385","14956","14716","14644","14944","15787","17290","18440","18899","19163","18920","18477","18357","18568","18882","19511","20452","21407","21485","21279","20832","20138","19189","18321",""
"2026","1","16","17764","17404","17208","17176","17425","18246","19703","20787","20811","20202","19513","19176","19480","19778","19591","20002","20897","21629","21436","21047","20486","19809","18880","17907",""
"2026","1","17","17200","16641","16255","16064","16061","16313","16785","17366","18013","18524","18728","18845","18957","18812","18809","18940","19429","20031","19995","19639","19371","18935","18232","17469",""
"2026","1","18","16857","16391","16066","15896","15884","16094","16567","17159","17759","18069","18244","18476","18678","18855","19020","19283","19846","20508","20449","20121","19756","19144","18403","17583",""
"2026","1","19","17044","16651","16414","16341","16553","17196","18178","19028","19594","19932","20073","20057","19885","19873","20214","20521","21172","22051","22025","21646","21149","20450","19518","18731",""
"2026","1","20","18188","17810","17600","17570","17914","18784","20301","21493","21628","21237","21039","20857","20774","20749","20845","21527","22680","23720","23817","23531","22991","22148","21079","20017",""
"2026","1","21","19350","18929","18640","18553","18766","19591","21074","22189","22157","21741","21419","21295","21438","21489","21278","21483","22135","22741","22521","22013","21326","20341","19185","18096",""
"2026","1","22","17349","16811","16466","16329","16467","17240","18600","19641","19757","19386","19028","18919","18573","18214","18183","18988","20088","21028","21062","20796","20326","19612","18697","17797",""
"2026","1","23","17208","16809","16592","16553","16808","17655","19123","20167","20386","19992","19410","18969","18948","19344","19625","20338","21356","22323","22406","22283","22060","21673","21047","20304",""
"2026","1","24","19733","19316","19067","18959","19040","19389","20057","20802","21075","20809","20400","19947","19582","19545","19962","21007","22289","23303","23421","23167","22783","22203","21403","20617",""
"2026","1","25","20005","19512","19145","18928","18819","19071","19519","20108","20781","21662","22329","22781","23187","23199","23098","22952","23074","23560","23394","22901","22302","21533","20512","19588",""
"2026","1","26","18886","18407","18136","18029","18140","18576","19380","20231","21064","21647","22026","22227","22130","22113","22111","22083","22454","23377","23417","23046","22505","21711","20764","19859",""
"2026","1","27","19208","18812","18599","18554","18836","19639","21077","22156","22628","22707","22621","22552","22475","22455","22452","22682","23180","23929","24040","23751","23227","22424","21377","20338",""
"2026","1","28","19670","19213","18965","18901","19165","19962","21400","22481","22705","22552","22341","22073","21777","21683","21702","22028","22697","23528","23672","23461","23004","22272","21338","20339",""
"2026","1","29","19715","19293","19037","18943","19188","20016","21580","22810","22996","22834","22545","22318","22117","22004","21956","22102","22828","23695","23937","23717","23274","22517","21600","20677",""
"2026","1","30","20078","19654","19438","19373","19563","20321","21766","22931","23261","23239","23063","22936","22716","22495","22400","22661","23367","24095","24177","23897","23482","22816","22001","21048",""
"2026","1","31","20390","19866","19506","19284","19274","19565","20155","20816","21310","21483","21444","21275","21063","20829","20794","21054","21711","22553","22748","22522","22209","21714","21070","20347",""
"2026","2","1","19764","19345","19071","18911","18935","19181","19667","20331","20943","21245","21373","21438","21257","21089","21039","21294","22159","23168","23489","23252","22816","22111","21144","20252",""
"2026","2","2","19703","19308","19082","18989","19264","20037","21519","22580","22577","22230","21875","21381","20904","20495","20156","20511","21542","22642","22997","22790","22303","21551","20470","19467",""
"2026","2","3","18863","18489","18206","18174","18429","19223","20661","21612","21569","21533","21431","21238","20969","20842","20830","21078","21603","22383","22581","22268","21722","20915","19810","18861",""
"2026","2","4","18213","17776","17534","17416","17619","18395","19825","20845","20929","20488","19954","19509","19169","18989","18911","19448","20686","21892","22279","22078","21670","20915","19868","18981",""
"2026","2","5","18406","18020","17835","17783","18049","18881","20428","21412","21174","20482","19914","19570","19285","19140","19207","19733","20855","22009","22365","22195","21797","21127","20130","19178",""
"2026","2","6","18593","18199","17972","17872","18082","18844","20243","21206","21186","20550","20132","19780","19672","19712","19868","20245","20971","21776","21902","21558","21095","20471","19745","18943",""
"2026","2","7","18388","18049","17759","17652","17697","18159","18977","19892","20635","21099","21210","21320","21316","21294","21573","22147","23006","23975","24317","24105","23785","23238","22495","21756",""
"2026","2","8","21133","20655","20344","20185","20225","20471","20977","21490","21716","21706","21715","21670","21495","21274","21243","21691","22873","24078","24259","23754","23306","22841","22104","21370",""
"2026","2","9","20730","20287","20048","19987","20220","20979","22370","23316","23034","22321","21729","21253","20833","20613","20751","21337","22300","23368","23633","23288","22707","21850","20799","19810",""
"2026","2","10","19130","18649","18304","18195","18398","19146","20561","21443","21371","21053","20996","20797","20509","20590","20793","21137","21546","22166","22263","21877","21239","20346","19228","18186",""
"2026","2","11","17458","16969","16692","16603","16858","17667","19059","19962","20141","20205","20066","20082","20082","20173","20095","20173","20787","21530","21779","21493","20978","20151","19149","18180",""
"2026","2","12","17533","17117","16847","16755","17027","17849","19319","20274","20249","19910","19414","19056","18733","18709","18835","19382","20387","21441","21832","21640","21200","20525","19562","18643",""
"2026","2","13","18073","17649","17400","17323","17626","18447","19924","20726","20299","19520","18845","18225","17763","17474","17478","18202","19548","20772","21120","20900","20481","19894","19107","18332",""
"2026","2","14","17701","17200","16846","16666","16658","16886","17417","17911","18221","18302","18291","17848","17435","17115","16997","17245","18039","19058","19451","19248","18935","18497","17885","17223",""
